127.0.0.1 - - [10/Mar/2016:22:28:07 +0300] "GET /css/form.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:07 +0300] "GET /css/print.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:09 +0300] "GET /index.php?r=site/index HTTP/1.1" 200 2005
127.0.0.1 - - [10/Mar/2016:22:28:09 +0300] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:09 +0300] "GET /css/form.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:09 +0300] "GET /css/print.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:09 +0300] "GET /css/screen.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:10 +0300] "GET /index.php?r=site/index HTTP/1.1" 200 2005
127.0.0.1 - - [10/Mar/2016:22:28:10 +0300] "GET /css/screen.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:10 +0300] "GET /css/form.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:10 +0300] "GET /css/print.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:10 +0300] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:11 +0300] "GET /index.php?r=site/index HTTP/1.1" 200 2005
127.0.0.1 - - [10/Mar/2016:22:28:11 +0300] "GET /css/screen.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:11 +0300] "GET /css/form.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:11 +0300] "GET /css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:11 +0300] "GET /css/print.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:13 +0300] "GET /site/index HTTP/1.1" 200 2005
127.0.0.1 - - [10/Mar/2016:22:28:15 +0300] "GET /site/page?view=about HTTP/1.1" 200 1619
127.0.0.1 - - [10/Mar/2016:22:28:26 +0300] "GET /site/page/view/about HTTP/1.1" 200 1619
127.0.0.1 - - [10/Mar/2016:22:28:28 +0300] "GET /site/contact HTTP/1.1" 200 6443
127.0.0.1 - - [10/Mar/2016:22:28:28 +0300] "GET /assets/f2776f12/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:28 +0300] "GET /assets/f2776f12/jquery.yiiactiveform.js HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:28:28 +0300] "GET /site/captcha?v=56e1cadc5b623 HTTP/1.1" 200 2999
127.0.0.1 - - [10/Mar/2016:22:28:29 +0300] "GET /site/login HTTP/1.1" 200 4166
127.0.0.1 - - [10/Mar/2016:22:28:34 +0300] "GET /site/login HTTP/1.1" 200 4166
